id,year_born,gender,industry,industry_d,occupation,occupation_d,organisation_size,manage_people,household,how_long,m_r,time_last_year1,think_last_year1,think_last_year2,think_last_year3,think_last_year4,think_last_year5,think_last_year6,prefer_last_year,time_last_year2,think_last_months1,think_last_months2,think_last_months3,think_last_months4,think_last_months5,think_last_months6,prefer_last_months,prefer_post_covid,cured1,cured2,cured3,productive,time_workplace1,time_workplace2,time_workplace3,time_workplace4,time_remote1,time_remote2,time_remote3,time_remote4,most_barrier1,least_barrier1,most_barrier2,least_barrier2,most_barrier3,least_barrier3,most_barrier4,least_barrier4,most_barrier5,least_barrier5,most_barrier6,least_barrier6,most_barrier7,least_barrier7,most_barrier8,least_barrier8,most_barrier9,least_barrier9,most_barrier10,least_barrier10,best_remote1,worst_remote1,best_remote2,worst_remote2,best_remote3,worst_remote3,best_remote4,worst_remote4,best_remote5,worst_remote5,best_remote6,worst_remote6,time_remote_last_year,time_preferred_remote_last_year,time_remote_last_months,time_preferred_remote_last_months,time_preferred_postcovid,productivity,diff_last_year,diff_last_months,diff_post_covid,tlm_1,tlm_2,tlm_3,tlm_4,tlm_5,tlm_6,tly_1,tly_2,tly_3,tly_4,tly_5,tly_6,cur_1,cur_2,cur_3,most_barrier,least_barrier,best_remote,worst_remote,index_p,index_p20
1295,1988,Female,Financial and Insurance Services,Finance,Clerical and administrative ,Gerentes de Oficina y Administradores de Programas,Between 20 and 199,No,Couple with no dependent children,Between 6 and 12 months,Metro,40%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,50% - About half of my time,30%,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,50% - About half of my time,40%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Im 30% less productive when working remotely,3.5,8.5,4.0,3.0,0.5,8.5,5.0,4.0,Poor management,Feeling left out and/or isolated,Lack of motivation,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Poor management,"My living situation (e.g. location, home size, who I live with)",Feeling left out and/or isolated,Lack of motivation,"IT equipment (computer, printer, etc.)","My workspace (e.g. suitable chair, lighting, noise levels, facilities)","IT equipment (computer, printer, etc.)","My living situation (e.g. location, home size, who I live with)",Caring responsibilities,Difficulty collaborating remotely,Lack of motivation,Lack of motivation,Management discourages remote working,Lack of motivation,Management discourages remote working,Preparing for work and commuting,My work-life balance,Preparing for work and commuting,My working relationships,My daily expenses,My working relationships,The number of hours  I work,My opportunities to socialise,My daily expenses,My work-life balance,My daily expenses,My mental wellbeing,40,50,30,50,40,-30,-10,-20,10,1.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0,1,1,Lack of motivation,Feeling left out and/or isolated,My daily expenses,My work-life balance,15.0,15.0
1296,1988,Male,Other Services,Personal and Other Services,Managers,"Directores Ejecutivos, Gerentes Generales y Legisladores",Between 20 and 199,Yes,Group household,More than 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,10%,80%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,90%,30%,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Im 10% less productive when working remotely,3.0,6.0,2.0,2.0,3.0,8.0,8.0,5.0,Difficulty collaborating remotely,Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Connectivity (internet connection),I have tasks that can't be done remotely,Management discourages remote working,Connectivity (internet connection),"IT equipment (computer, printer, etc.)",Lack of motivation,Caring responsibilities,My organisation's software and systems,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Lack of motivation,Lack of motivation,Cyber security,Lack of motivation,My organisation's software and systems,My working relationships,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,My job satisfaction,Preparing for work and commuting,The number of hours  I work,My mental wellbeing,The number of hours  I work,My daily expenses,My job satisfaction,My mental wellbeing,10,10,80,90,30,-10,0,-10,-50,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1,-1,0,"IT equipment (computer, printer, etc.)",Connectivity (internet connection),My job satisfaction,My mental wellbeing,5.0,5.0
1297,1991,Female,Manufacturing,Machinery and Equipment Manufacturing,Managers,Gerentes Especialistas,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,70%,50% - I spent about half of my time remote working,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,80%,60%,Somewhat agree,Somewhat agree,Somewhat agree,Im 10% more productive when working remotely,2.0,6.0,3.0,0.0,0.0,9.0,5.0,0.0,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,Cyber security,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Poor management,"My living situation (e.g. location, home size, who I live with)",Poor management,Difficulty collaborating remotely,Cyber security,"IT equipment (computer, printer, etc.)",Caring responsibilities,Management discourages remote working,Caring responsibilities,Management discourages remote working,Lack of motivation,My organisation's software and systems,Cyber security,Lack of motivation,Lack of remote working skills,Managing my family responsibilities,My on-the-job learning opportunities,Managing my personal commitments,My opportunities to socialise,My daily expenses,Managing my family responsibilities,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,My daily expenses,Managing my personal commitments,My daily expenses,50,70,50,80,60,10,-20,-30,10,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,1,1,"IT equipment (computer, printer, etc.)",Lack of motivation,Managing my personal commitments,My daily expenses,25.0,25.0
1298,1970,Female,Education and Training,Preschool and School Education,Technicians and trades ,Otros Técnicos y Oficios,More than 200,No,Single person,More than 5 years,Metro,Less than 10% of my time,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,40%,10%,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,100% - All of my time,80%,Strongly disagree,Strongly disagree,Strongly disagree,Im 40% more productive when working remotely,2.0,7.5,5.0,0.5,0.5,7.5,5.0,1.0,"IT equipment (computer, printer, etc.)",Feeling left out and/or isolated,Poor management,Lack of motivation,I have tasks that can't be done remotely,Connectivity (internet connection),Management discourages remote working,Lack of remote working skills,"IT equipment (computer, printer, etc.)",Caring responsibilities,I have tasks that can't be done remotely,Caring responsibilities,Management discourages remote working,Caring responsibilities,Management discourages remote working,Lack of motivation,My organisation's software and systems,Lack of motivation,Lack of motivation,Lack of remote working skills,My work-life balance,Managing my family responsibilities,Preparing for work and commuting,Managing my family responsibilities,Preparing for work and commuting,Managing my family responsibilities,My on-the-job learning opportunities,Managing my personal commitments,My job satisfaction,My personal relationships,My job satisfaction,My opportunities to socialise,10,40,10,100,80,40,-30,-90,70,1.0,-1.0,2.0,-1.0,2.0,2.0,-2.0,-1.0,-2.0,2.0,2.0,2.0,-2,-2,-2,Management discourages remote working,Lack of motivation,Preparing for work and commuting,Managing my family responsibilities,60.0,60.0
1299,1987,Female,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Managers,"Directores Ejecutivos, Gerentes Generales y Legisladores",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,80%,80%,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,90%,90%,Somewhat agree,Somewhat agree,Somewhat agree,Im 40% more productive when working remotely,2.0,10.0,6.0,6.0,1.0,11.0,5.0,7.0,Caring responsibilities,Poor management,Lack of motivation,Poor management,My organisation's software and systems,Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",Lack of remote working skills,Lack of motivation,Difficulty collaborating remotely,My organisation's software and systems,Caring responsibilities,"IT equipment (computer, printer, etc.)",Caring responsibilities,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Cyber security,Lack of motivation,Cyber security,Lack of remote working skills,My on-the-job learning opportunities,The number of hours  I work,My opportunities to socialise,Preparing for work and commuting,Managing my family responsibilities,Preparing for work and commuting,My opportunities to socialise,My on-the-job learning opportunities,The number of hours  I work,My on-the-job learning opportunities,My daily expenses,My opportunities to socialise,100,80,80,90,90,40,20,-10,10,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1,1,Lack of motivation,Poor management,My opportunities to socialise,Preparing for work and commuting,-5.0,-5.0
1300,1990,Male,Other Services,Personal and Other Services,Managers,"Directores Ejecutivos, Gerentes Generales y Legisladores",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,Rarely or never ,,,,,,,I would not have preferred to work remotely ,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Less than 10% of my time,30%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Im 50% more productive when working remotely (or more),1.0,9.0,7.0,7.0,10.0,2.0,2.0,10.0,Caring responsibilities,Feeling left out and/or isolated,Poor management,Lack of motivation,I have tasks that can't be done remotely,Feeling left out and/or isolated,Feeling left out and/or isolated,Lack of remote working skills,Cyber security,Difficulty collaborating remotely,Caring responsibilities,"IT equipment (computer, printer, etc.)","My living situation (e.g. location, home size, who I live with)",Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Lack of motivation,Cyber security,Lack of motivation,Lack of remote working skills,Preparing for work and commuting,The number of hours  I work,My mental wellbeing,My working relationships,My job satisfaction,Managing my family responsibilities,My work-life balance,My opportunities to socialise,My daily expenses,My on-the-job learning opportunities,My job satisfaction,My personal relationships,0,0,100,10,30,50,0,90,-70,1.0,1.0,2.0,1.0,2.0,0.0,,,,,,,1,0,1,Caring responsibilities,Feeling left out and/or isolated,My job satisfaction,The number of hours  I work,-45.0,-45.0
1301,1961,Male,Public Administration and Safety,Public Administration,Professionals,"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",More than 200,No,Couple with dependent children,More than 5 years,Regional,40%,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,40%,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,0.15,8.0,8.0,0.0,0.15,8.0,7.0,1.0,Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Cyber security,Lack of motivation,Connectivity (internet connection),Poor management,Poor management,Connectivity (internet connection),"IT equipment (computer, printer, etc.)",Caring responsibilities,Caring responsibilities,"IT equipment (computer, printer, etc.)",Management discourages remote working,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Lack of motivation,Cyber security,Cyber security,I have tasks that can't be done remotely,Managing my family responsibilities,Preparing for work and commuting,Preparing for work and commuting,Managing my family responsibilities,My daily expenses,My working relationships,My mental wellbeing,Managing my personal commitments,My on-the-job learning opportunities,My personal relationships,My personal relationships,My mental wellbeing,40,40,50,50,50,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1,1,1,Cyber security,"IT equipment (computer, printer, etc.)",Managing my family responsibilities,Preparing for work and commuting,0.0,0.0
1302,1972,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,Profesionales de Tecnologías de la Información y Comunicación,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,30%,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,20%,40%,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,70%,40%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.0,8.0,0.0,0.0,3.0,4.0,1.0,2.0,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",My work-life balance,My working relationships,My mental wellbeing,My working relationships,Managing my family responsibilities,My working relationships,My work-life balance,My opportunities to socialise,My work-life balance,My personal relationships,My daily expenses,My opportunities to socialise,30,20,40,70,40,0,10,-30,0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1,1,1,Feeling left out and/or isolated,Poor management,My work-life balance,My working relationships,10.0,10.0
1303,1978,Male,Accommodation and Food Services,Accommodation,Managers,"Gerentes de Hospitalidad, Retail y Servicios",Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Regional,20%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,20%,20%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,20%,20%,Somewhat agree,Strongly agree,Strongly agree,Im 30% more productive when working remotely,2.0,20.0,2.0,0.0,2.0,20.0,2.0,0.0,Poor management,Connectivity (internet connection),Poor management,Feeling left out and/or isolated,Poor management,Connectivity (internet connection),Poor management,Feeling left out and/or isolated,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Lack of motivation,Lack of motivation,Lack of motivation,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Preparing for work and commuting,My working relationships,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My daily expenses,Managing my personal commitments,The number of hours  I work,My job satisfaction,My work-life balance,My job satisfaction,My opportunities to socialise,20,20,20,20,20,30,0,0,0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1,2,2,Poor management,Difficulty collaborating remotely,Preparing for work and commuting,My working relationships,0.0,0.0
1304,1990,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,Profesionales de la Salud,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,10%,30%,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,10%,20%,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Im 10% less productive when working remotely,3.0,8.0,7.0,4.0,3.0,8.0,7.0,4.0,Caring responsibilities,Connectivity (internet connection),Lack of motivation,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",I have tasks that can't be done remotely,Connectivity (internet connection),Feeling left out and/or isolated,Difficulty collaborating remotely,Caring responsibilities,My organisation's software and systems,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)","IT equipment (computer, printer, etc.)",My organisation's software and systems,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,Management discourages remote working,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My working relationships,My on-the-job learning opportunities,My mental wellbeing,My working relationships,My working relationships,Preparing for work and commuting,My on-the-job learning opportunities,My work-life balance,My personal relationships,The number of hours  I work,My mental wellbeing,My daily expenses,30,10,30,10,20,-10,20,20,-10,0.0,-1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1,0,-1,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,My working relationships,My on-the-job learning opportunities,-20.0,-20.0
1305,1994,Male,Education and Training,"Adult, Community and Other Education",Community and personal service ,Apoyo de Salud y Bienestar,Between 1 and 4,Yes,Group household,More than 5 years,Metro,20%,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,20%,80%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Somewhat disagree,Somewhat disagree,Somewhat disagree,My productivity is about same when I work remotely,1.0,10.0,12.0,1.0,0.0,9.0,10.0,1.0,Feeling left out and/or isolated,Connectivity (internet connection),Lack of motivation,Connectivity (internet connection),I have tasks that can't be done remotely,Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),Difficulty collaborating remotely,Caring responsibilities,I have tasks that can't be done remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Management discourages remote working,Cyber security,I have tasks that can't be done remotely,Cyber security,Lack of motivation,Lack of remote working skills,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My working relationships,My work-life balance,My opportunities to socialise,My work-life balance,My on-the-job learning opportunities,Managing my personal commitments,My job satisfaction,20,20,80,20,20,0,0,60,-60,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,-1,-1,-1,I have tasks that can't be done remotely,Connectivity (internet connection),Preparing for work and commuting,My working relationships,-30.0,-30.0
1306,1990,Male,Construction,Building Construction,Sales ,Soporte de Ventas,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,30%,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,30%,30%,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,50% - About half of my time,40%,Strongly agree,Strongly agree,Strongly agree,Im 50% more productive when working remotely (or more),3.0,6.0,10.0,5.0,2.0,7.0,9.0,6.0,Caring responsibilities,Poor management,Feeling left out and/or isolated,Poor management,I have tasks that can't be done remotely,Poor management,Management discourages remote working,Poor management,"IT equipment (computer, printer, etc.)",Lack of motivation,I have tasks that can't be done remotely,Caring responsibilities,Management discourages remote working,Caring responsibilities,Management discourages remote working,Lack of motivation,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,I have tasks that can't be done remotely,Preparing for work and commuting,My on-the-job learning opportunities,My working relationships,Preparing for work and commuting,Preparing for work and commuting,Managing my family responsibilities,My work-life balance,My mental wellbeing,My work-life balance,My on-the-job learning opportunities,Managing my personal commitments,My mental wellbeing,30,30,30,50,40,50,0,-20,10,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2,2,2,I have tasks that can't be done remotely,Poor management,Preparing for work and commuting,My on-the-job learning opportunities,10.0,10.0
1307,1958,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Technicians and trades ,Otros Técnicos y Oficios,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,90%,50% - About half of my time,Somewhat agree,Neither agree nor disagree,Somewhat agree,Im 40% more productive when working remotely,2.5,4.0,4.0,5.0,0.0,4.0,6.0,5.0,Connectivity (internet connection),Poor management,Cyber security,Poor management,Connectivity (internet connection),"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Poor management,Lack of remote working skills,Cyber security,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,"IT equipment (computer, printer, etc.)",Lack of motivation,Cyber security,Lack of motivation,Cyber security,"My living situation (e.g. location, home size, who I live with)",My work-life balance,Preparing for work and commuting,My mental wellbeing,Preparing for work and commuting,My job satisfaction,Preparing for work and commuting,The number of hours  I work,My opportunities to socialise,The number of hours  I work,My on-the-job learning opportunities,My mental wellbeing,My opportunities to socialise,100,50,100,90,50,40,50,10,-50,2.0,0.0,2.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,-2.0,1.0,1,0,1,Cyber security,Caring responsibilities,My mental wellbeing,Preparing for work and commuting,-30.0,-30.0
1308,1972,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Otros Clericales y Administrativos,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,30%,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,40%,80%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,80%,70%,Somewhat agree,Somewhat agree,Somewhat agree,Im 40% more productive when working remotely,1.0,7.0,6.0,5.0,0.0,6.0,7.0,5.0,Connectivity (internet connection),Difficulty collaborating remotely,Poor management,Lack of motivation,My organisation's software and systems,I have tasks that can't be done remotely,Management discourages remote working,Poor management,Difficulty collaborating remotely,Lack of motivation,I have tasks that can't be done remotely,"IT equipment (computer, printer, etc.)","My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Management discourages remote working,Lack of motivation,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",My work-life balance,Preparing for work and commuting,My opportunities to socialise,Managing my family responsibilities,My job satisfaction,Preparing for work and commuting,My opportunities to socialise,My work-life balance,My job satisfaction,My daily expenses,My opportunities to socialise,My job satisfaction,30,40,80,80,70,40,-10,0,-10,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,Management discourages remote working,Lack of motivation,My opportunities to socialise,Preparing for work and commuting,5.0,5.0
1309,1984,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Profesionales de Negocios, Recursos Humanos y Marketing",Between 5 and 19,No,Group household,More than 5 years,Metro,10%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,10%,60%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,60%,20%,Somewhat agree,Somewhat agree,Somewhat agree,Im 20% more productive when working remotely,2.0,8.0,6.0,2.0,0.0,9.5,6.0,3.0,Connectivity (internet connection),Poor management,Connectivity (internet connection),Poor management,I have tasks that can't be done remotely,My organisation's software and systems,"My living situation (e.g. location, home size, who I live with)",Lack of remote working skills,Cyber security,Caring responsibilities,I have tasks that can't be done remotely,My organisation's software and systems,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Management discourages remote working,My organisation's software and systems,Cyber security,Management discourages remote working,Lack of motivation,Management discourages remote working,My work-life balance,My on-the-job learning opportunities,Managing my family responsibilities,My opportunities to socialise,My job satisfaction,My working relationships,Managing my personal commitments,My opportunities to socialise,My work-life balance,My on-the-job learning opportunities,Managing my personal commitments,My opportunities to socialise,10,10,60,60,20,20,0,0,-40,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1,1,Connectivity (internet connection),My organisation's software and systems,My work-life balance,My opportunities to socialise,0.0,0.0
1310,1967,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Professionals,Profesionales de las Artes y los Medios,Between 1 and 4,No,Couple with dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,50% - I spent about half of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly disagree,My productivity is about same when I work remotely,0.0,7.0,2.0,3.0,0.0,7.0,2.0,3.0,Connectivity (internet connection),Difficulty collaborating remotely,Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),I have tasks that can't be done remotely,Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)","IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",I have tasks that can't be done remotely,Caring responsibilities,Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",I have tasks that can't be done remotely,Cyber security,"My living situation (e.g. location, home size, who I live with)",Cyber security,I have tasks that can't be done remotely,Managing my family responsibilities,My work-life balance,Managing my personal commitments,My opportunities to socialise,Managing my family responsibilities,My job satisfaction,My work-life balance,My opportunities to socialise,My work-life balance,The number of hours  I work,My daily expenses,My opportunities to socialise,100,100,50,100,100,0,0,-50,50,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,-2,Connectivity (internet connection),I have tasks that can't be done remotely,Managing my family responsibilities,My opportunities to socialise,25.0,25.0
1311,1977,Male,Financial and Insurance Services,Finance,Managers,Gerentes Especialistas,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,10%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,10%,20%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,20%,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,2.0,7.0,2.0,2.0,0.5,7.0,3.5,2.0,Feeling left out and/or isolated,Caring responsibilities,Lack of motivation,Feeling left out and/or isolated,Poor management,I have tasks that can't be done remotely,Management discourages remote working,Poor management,"IT equipment (computer, printer, etc.)",Lack of motivation,I have tasks that can't be done remotely,"IT equipment (computer, printer, etc.)","My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Management discourages remote working,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My organisation's software and systems,Management discourages remote working,Management discourages remote working,Lack of remote working skills,My working relationships,Preparing for work and commuting,Preparing for work and commuting,My working relationships,Preparing for work and commuting,Managing my family responsibilities,The number of hours  I work,My on-the-job learning opportunities,The number of hours  I work,My personal relationships,My personal relationships,Managing my personal commitments,10,10,20,20,20,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,1,1,Management discourages remote working,Management discourages remote working,Preparing for work and commuting,Preparing for work and commuting,0.0,0.0
