occupation_d,¿Gestionas personas como parte de tu trabajo actual?,¿Los empleados que gestionas trabajan de forma remota alguna vez?,Tengo discreción para ofrecer o denegar el trabajo remoto a los empleados que gestiono,Ofrecer trabajo remoto me ayuda a retener empleados,Ofrecer trabajo remoto me ayuda a reclutar empleados,Mi equipo funciona bien cuando trabajan de forma remota,"Me resulta fácil gestionar empleados de forma remota (por ejemplo, asignar tareas y controlar el progreso)",Me resulta fácil gestionar empleados con bajo rendimiento de forma remota,Me siento bien preparado/a para gestionar empleados de forma remota,Gestionar personas de forma remota me hace estar más enfocado/a en los resultados,Me resulta fácil contactar a mis empleados cuando trabajan de forma remota
Gerentes Especialistas,Yes,Yes,50.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0
Clerical General,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
Soporte de Ventas,No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
Gerentes Especialistas,Yes,No,-10.0,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,0.0,1.0,2.0,2.0,2.0,-1.0,-1.0,0.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Apoyo de Salud y Bienestar,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,30.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
Gerentes de Oficina y Administradores de Programas,Yes,No,50.0,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0
Gerentes Especialistas,Yes,Yes,40.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,Yes,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerentes Especialistas,Yes,No,-10.0,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
Profesionales de la Salud,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-30.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Profesionales de la Educación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,1.0,-1.0,0.0,1.0,2.0,2.0,2.0,1.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,No,40.0,,,,,,,,
Operadores de Equipos Móviles,Yes,Yes,30.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,-1.0
Profesionales de la Educación,Yes,Yes,40.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Gerentes de Oficina y Administradores de Programas,Yes,Yes,40.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
Cuidadores y Asistentes,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0
Gerentes Especialistas,Yes,Yes,30.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,No,40.0,,,,,,,,
Profesionales de la Educación,Yes,Yes,10.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0
Clerical General,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",Yes,No,30.0,,,,,,,,
Gerentes Especialistas,Yes,Yes,50.0,2.0,2.0,1.0,1.0,1.0,1.0,-1.0,1.0
Asistentes Personales y Secretarias,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
Otros Clericales y Administrativos,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,20.0,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Oficios de Automoción e Ingeniería,Yes,Yes,40.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0
Clerical General,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
Otros Clericales y Administrativos,Yes,Yes,40.0,-2.0,1.0,-2.0,1.0,1.0,-2.0,-1.0,1.0
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Agricultores y Gerentes de Granjas,Yes,No,-30.0,,,,,,,,
Gerentes Especialistas,Yes,Yes,10.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,1.0
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,20.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-50.0,2.0,-1.0,-2.0,-2.0,-1.0,-2.0,0.0,-1.0
Profesionales de las Artes y los Medios,Yes,Yes,40.0,-2.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0
Representantes y Agentes de Ventas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,-1.0,2.0,1.0,1.0,1.0,-1.0,1.0,1.0
Apoyo de Salud y Bienestar,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,-20.0,1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0
Gerentes Especialistas,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Soporte de Ventas,No,,,,,,,,,,
Gerentes Especialistas,Yes,No,0.0,,,,,,,,
Profesionales de la Educación,Yes,Yes,20.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0
"Gerentes de Hospitalidad, Retail y Servicios",Yes,No,30.0,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0
Gerentes Especialistas,Yes,Yes,20.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,40.0,1.0,1.0,1.0,1.0,-1.0,-2.0,0.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,-20.0,2.0,2.0,1.0,1.0,2.0,-1.0,1.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Apoyo de Salud y Bienestar,No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Gerentes Especialistas,Yes,No,30.0,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,-50.0,1.0,-1.0,-1.0,-2.0,-1.0,-2.0,-2.0,-2.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,-40.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0
Profesionales de la Salud,Yes,Yes,50.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Gerentes Especialistas,Yes,No,40.0,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
Oficios de Automoción e Ingeniería,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,1.0,0.0,-1.0,-1.0,0.0,0.0,2.0,2.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,20.0,1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,No,50.0,,,,,,,,
Profesionales de la Educación,Yes,No,30.0,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,2.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0
Servicio de Protección,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,20.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
Profesionales de la Salud,Yes,No,10.0,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Asistentes Personales y Secretarias,Yes,Yes,20.0,-1.0,0.0,1.0,0.0,2.0,-1.0,0.0,2.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,1.0,1.0,0.0,1.0,2.0,-1.0,2.0,1.0
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,10.0,2.0,1.0,0.0,1.0,1.0,-1.0,1.0,0.0
Asistentes de Preparación de Alimentos,Yes,Yes,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
Profesionales de la Salud,No,,,,,,,,,,
Profesionales de la Salud,Yes,No,0.0,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0
Gerentes Especialistas,Yes,No,0.0,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-10.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Clerical General,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0
Representantes y Agentes de Ventas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,-2.0,0.0,0.0,1.0,1.0,-2.0,0.0,-1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,50.0,0.0,0.0,0.0,1.0,0.0,-2.0,1.0,1.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
Gerentes Especialistas,Yes,Yes,50.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
Clerical General,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
Proceso de Fábrica,Yes,Yes,50.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,-10.0,-2.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,1.0,-1.0,0.0,1.0,-1.0,2.0,1.0,-1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-20.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-1.0,-1.0
Profesionales de la Educación,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
Gerentes Especialistas,Yes,Yes,40.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0
Apoyo de Salud y Bienestar,Yes,Yes,30.0,2.0,1.0,0.0,1.0,-2.0,-2.0,1.0,0.0
Oficios de Electrotecnología y Telecomunicaciones,Yes,No,-20.0,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Profesionales de la Salud,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Yes,Yes,40.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0
Gerentes Especialistas,No,,,,,,,,,,
Agricultores y Gerentes de Granjas,Yes,Yes,50.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,40.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,50.0,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,20.0,-1.0,0.0,0.0,1.0,1.0,-1.0,1.0,0.0
Gerentes Especialistas,Yes,Yes,30.0,2.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Gerentes Especialistas,Yes,Yes,-40.0,0.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0
Clerks de Consultas y Recepcionistas,Yes,Yes,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0
Gerentes Especialistas,No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0
Gerentes Especialistas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Gerentes Especialistas,Yes,Yes,-50.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,-2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Oficios de Automoción e Ingeniería,Yes,Yes,20.0,-2.0,0.0,0.0,-1.0,-1.0,-2.0,-1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Gerentes Especialistas,Yes,No,-20.0,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,20.0,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Oficios de Automoción e Ingeniería,Yes,Yes,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,40.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Agricultores y Gerentes de Granjas,Yes,Yes,20.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
Soporte de Ventas,Yes,Yes,30.0,-1.0,-1.0,0.0,0.0,2.0,1.0,-2.0,0.0
Gerentes Especialistas,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-10.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,20.0,-2.0,-2.0,-2.0,0.0,-1.0,-1.0,0.0,1.0
Asistentes Personales y Secretarias,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-20.0,-1.0,0.0,0.0,-1.0,-1.0,-2.0,-1.0,-1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,1.0,-2.0,-2.0,1.0,1.0,-2.0,1.0,-1.0
Profesionales de la Educación,Yes,Yes,40.0,1.0,1.0,-1.0,1.0,1.0,2.0,2.0,-1.0
Representantes y Agentes de Ventas,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Yes,No,-20.0,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0
Gerentes Especialistas,No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
Gerentes Especialistas,Yes,No,0.0,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
Cuidadores y Asistentes,No,,,,,,,,,,
Profesionales de la Salud,Yes,No,-10.0,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,No,0.0,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,40.0,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,20.0,1.0,1.0,1.0,1.0,1.0,-2.0,0.0,1.0
Gerentes Especialistas,Yes,Yes,10.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0
Profesionales de la Educación,Yes,No,20.0,,,,,,,,
Operadores de Máquinas y Plantas Estacionarias,No,,,,,,,,,,
Soporte de Ventas,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,-20.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,40.0,0.0,1.0,0.0,-1.0,-1.0,2.0,0.0,1.0
Profesionales de la Educación,No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,-20.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,1.0
Otros Clericales y Administrativos,No,,,,,,,,,,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,50.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Representantes y Agentes de Ventas,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Asistentes Personales y Secretarias,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0
Asistentes y Vendedores,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-20.0,0.0,2.0,0.0,-1.0,2.0,0.0,1.0,1.0
Hospitalidad,Yes,Yes,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Clerks Numéricos,Yes,No,0.0,,,,,,,,
Oficios de Construcción,Yes,Yes,40.0,1.0,1.0,1.0,2.0,1.0,-1.0,1.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,1.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Habilidad en Cuidado Animal y Horticultura,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,-20.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-1.0,-1.0
Otros Clericales y Administrativos,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Gerentes Especialistas,Yes,No,30.0,,,,,,,,
Profesionales de las Artes y los Medios,Yes,No,10.0,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Limpiadores y Lavandería,No,,,,,,,,,,
Profesionales de las Artes y los Medios,Yes,Yes,0.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0
Gerentes Especialistas,Yes,Yes,10.0,-1.0,1.0,1.0,2.0,0.0,0.0,-1.0,0.0
Clerks Numéricos,No,,,,,,,,,,
Oficios de Construcción,No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0
Clerks de Consultas y Recepcionistas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
