occupation_d,Mis responsabilidades de cuidado,Conectividad,Software y sistemas de mi organización,Dificultad para colaborar de forma remota,Mala gestión,Equipos informáticos,Sentirse excluido/a y/o aislado/a,Costos adicionales,Ciberseguridad,Tengo tareas que no se pueden realizar de forma remota,Mi espacio de trabajo ,Motivación,La gerencia desalienta el trabajo remoto,Mi situación de vida,Falta de habilidades para trabajar de forma remota,Mi salud y seguridad al trabajar de forma remota,¿Cuáles fueron las barreras más grandes al trabajar de esta manera?,¿Cuáles fueron las barreras más pequeñas al trabajar de esta manera?
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",,0.0,1.0,1.0,1.0,1.0,0.0,,-2.0,1.0,0.0,,1.0,0.0,,,Problemas de conectividad/internet,Dificultad para colaborar con colegas remotos
Profesionales de la Educación,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,0.0,-2.0,-2.0,-2.0,-1.0,,-1.0,-1.0,-1.0,,
Profesionales de las Artes y los Medios,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dificultad para innovar,Problemas de conectividad/internet
"Profesionales de Negocios, Recursos Humanos y Marketing",0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,,,-1.0,,0.0,,0.0,0.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",,,,0.0,0.0,-1.0,-1.0,-1.0,,,,,,,,,Dificultad para innovar,Entorno de trabajo ruidoso
Servicio de Protección,0.0,1.0,2.0,0.0,1.0,2.0,-2.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,Problemas con la configuración de audio y video,Problemas con la configuración de audio y video
Otros Clericales y Administrativos,0.0,,,,-1.0,-1.0,-1.0,0.0,,,0.0,-1.0,0.0,0.0,-1.0,0.0,Interrupciones,Entorno de trabajo ruidoso
Clerical General,,,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,Interrupciones,Dificultad para innovar
Profesionales de la Educación,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,1.0,0.0,-1.0,0.0,-2.0,0.0,Problemas de conectividad/internet,Falta de privacidad
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,-1.0,-1.0,-1.0,,-1.0,0.0,1.0,-1.0,0.0,0.0,1.0,,,,0.0,Problemas con la configuración de audio y video,Falta de espacios de trabajo y reuniones adecuados
"Gerentes de Hospitalidad, Retail y Servicios",0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Profesionales de la Salud,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",,,,,,,,,,,,,,,,,Interrupciones,Entorno de trabajo ruidoso
"Profesionales de Negocios, Recursos Humanos y Marketing",2.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,,0.0,0.0,,0.0,1.0,0.0,,
Profesionales de las Artes y los Medios,,,,,-2.0,-2.0,,,,,,,,,,,,
Asistentes Personales y Secretarias,0.0,-2.0,-1.0,1.0,0.0,2.0,0.0,-2.0,-2.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,Dificultad para colaborar con colegas remotos,Problemas con la configuración de audio y video
"Profesionales de Negocios, Recursos Humanos y Marketing",-2.0,0.0,1.0,0.0,1.0,1.0,-1.0,-1.0,,0.0,-1.0,0.0,,0.0,1.0,1.0,Dificultad para colaborar con colegas remotos,Problemas con la configuración de audio y video
Gerentes Especialistas,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Entorno de trabajo ruidoso,Problemas de conectividad/internet
Profesionales de Tecnologías de la Información y Comunicación,,,,,0.0,,0.0,,,,,,-1.0,,,2.0,Falta de espacios de trabajo y reuniones adecuados,Problemas con la configuración de audio y video
Asistentes de Preparación de Alimentos,,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,-2.0,1.0,2.0,0.0,2.0,1.0,1.0,Interrupciones,Falta de privacidad
Profesionales de la Salud,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,-1.0,,0.0,0.0,0.0,Interrupciones,Dificultad para innovar
Profesionales de la Salud,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dificultad para colaborar con colegas remotos,Problemas con la configuración de audio y video
"Directores Ejecutivos, Gerentes Generales y Legisladores",-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,Interrupciones,Problemas de conectividad/internet
Gerentes Especialistas,,,,,,,,,,,,,,,,,,
Gerentes Especialistas,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Problemas de conectividad/internet,Interrupciones
"Profesionales de Negocios, Recursos Humanos y Marketing",,,,,,,-1.0,1.0,,,,-1.0,-1.0,1.0,,,Falta de espacios de trabajo y reuniones adecuados,Entorno de trabajo ruidoso
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0,Falta de espacios de trabajo y reuniones adecuados,Problemas de conectividad/internet
Clerical General,0.0,0.0,0.0,,,0.0,,,0.0,1.0,0.0,0.0,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,,1.0,,0.0,0.0,Dificultad para colaborar con colegas remotos,Falta de privacidad
Representantes y Agentes de Ventas,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",,,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,Interrupciones,Falta de privacidad
"Directores Ejecutivos, Gerentes Generales y Legisladores",,,0.0,-1.0,0.0,-1.0,-2.0,,-1.0,-2.0,-1.0,,1.0,0.0,-1.0,0.0,Falta de espacios de trabajo y reuniones adecuados,Interrupciones
"Profesionales de Negocios, Recursos Humanos y Marketing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dificultad para colaborar con colegas remotos,Entorno de trabajo ruidoso
Gerentes Especialistas,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,,,2.0,2.0,Entorno de trabajo ruidoso,Problemas con la configuración de audio y video
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",,,,,,,,,,,,1.0,,,,,,
Gerentes Especialistas,,,-1.0,-1.0,-1.0,-1.0,-1.0,,0.0,-1.0,-2.0,,2.0,-2.0,,1.0,Interrupciones,Dificultad para innovar
Clerical General,,1.0,-1.0,-2.0,0.0,,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,-2.0,-2.0,2.0,Dificultad para colaborar con colegas remotos,Problemas con la configuración de audio y video
Clerical General,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,Problemas con la configuración de audio y video,Entorno de trabajo ruidoso
Proceso de Fábrica,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,
"Gerentes de Hospitalidad, Retail y Servicios",,,,,,,-2.0,-1.0,,-2.0,-1.0,-1.0,0.0,-1.0,,-1.0,Dificultad para innovar,Entorno de trabajo ruidoso
"Profesionales de Negocios, Recursos Humanos y Marketing",1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Gerentes Especialistas,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,0.0,Dificultad para colaborar con colegas remotos,Entorno de trabajo ruidoso
Profesionales de la Educación,,,,,,,,0.0,,0.0,,,0.0,,,,Dificultad para colaborar con colegas remotos,Entorno de trabajo ruidoso
Otros Clericales y Administrativos,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,1.0,Problemas con la configuración de audio y video,Dificultad para colaborar con colegas remotos
Gerentes Especialistas,1.0,1.0,1.0,2.0,2.0,2.0,-2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,Dificultad para colaborar con colegas remotos,Falta de privacidad
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-1.0,2.0,0.0,,0.0,,1.0,Dificultad para colaborar con colegas remotos,Entorno de trabajo ruidoso
Apoyo Clerical y de Oficina,0.0,0.0,-1.0,0.0,,,,0.0,0.0,0.0,1.0,0.0,,,,0.0,,
Apoyo Clerical y de Oficina,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Interrupciones,Dificultad para colaborar con colegas remotos
Clerical General,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",,,,,,,,,,,,,,,,,Dificultad para colaborar con colegas remotos,Problemas de conectividad/internet
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Problemas de conectividad/internet,Interrupciones
Profesionales de la Educación,,,-1.0,-1.0,-2.0,,-2.0,-1.0,,0.0,,-1.0,0.0,1.0,,,Falta de espacios de trabajo y reuniones adecuados,Problemas de conectividad/internet
Profesionales de Tecnologías de la Información y Comunicación,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,Falta de espacios de trabajo y reuniones adecuados,Problemas de conectividad/internet
Gerentes Especialistas,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,Dificultad para colaborar con colegas remotos,Interrupciones
Apoyo de Salud y Bienestar,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,-1.0,0.0,0.0,,Dificultad para innovar,Entorno de trabajo ruidoso
Oficios de Electrotecnología y Telecomunicaciones,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,Interrupciones,Problemas con la configuración de audio y video
"Directores Ejecutivos, Gerentes Generales y Legisladores",-1.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,0.0,0.0,-2.0,-1.0,0.0,,-2.0,-2.0,,
Profesionales de la Salud,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Interrupciones,Problemas de conectividad/internet
Otros Clericales y Administrativos,,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,Interrupciones,Falta de espacios de trabajo y reuniones adecuados
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,Problemas de conectividad/internet,Dificultad para colaborar con colegas remotos
Gerentes Especialistas,,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,,0.0,0.0,,,0.0,,,Dificultad para colaborar con colegas remotos,Interrupciones
Agricultores y Gerentes de Granjas,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,
Gerentes de Oficina y Administradores de Programas,,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,,0.0,,
Gerentes Especialistas,,,1.0,-1.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,Entorno de trabajo ruidoso,Problemas de conectividad/internet
"Directores Ejecutivos, Gerentes Generales y Legisladores",,,,,,,,,-1.0,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,,,0.0,-1.0,-1.0,0.0,-1.0,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,Interrupciones,Falta de privacidad
Gerentes Especialistas,,,1.0,1.0,,,-1.0,-1.0,-2.0,1.0,-1.0,,1.0,,,,Dificultad para colaborar con colegas remotos,Falta de espacios de trabajo y reuniones adecuados
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
Gerentes Especialistas,0.0,0.0,0.0,-2.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,,
Clerks de Consultas y Recepcionistas,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,Falta de espacios de trabajo y reuniones adecuados,Entorno de trabajo ruidoso
"Profesionales de Negocios, Recursos Humanos y Marketing",,,1.0,,,,,,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,,
Gerentes Especialistas,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,,
Representantes y Agentes de Ventas,,,-1.0,,,,,,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dificultad para colaborar con colegas remotos,Problemas de conectividad/internet
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,
Gerentes Especialistas,0.0,1.0,2.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,Problemas con la configuración de audio y video,Entorno de trabajo ruidoso
"Directores Ejecutivos, Gerentes Generales y Legisladores",,,,,,,,,,,2.0,-2.0,,2.0,,,Interrupciones,Dificultad para innovar
Gerentes Especialistas,0.0,0.0,0.0,-2.0,0.0,0.0,-2.0,,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,Dificultad para colaborar con colegas remotos,Interrupciones
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,Interrupciones,Problemas de conectividad/internet
Oficios de Automoción e Ingeniería,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,Dificultad para colaborar con colegas remotos,Interrupciones
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,-1.0,,
Gerentes Especialistas,0.0,-1.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,Problemas de conectividad/internet,Falta de privacidad
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,0.0,1.0,-1.0,0.0,1.0,-2.0,0.0,1.0,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,
Oficios de Automoción e Ingeniería,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Interrupciones,Entorno de trabajo ruidoso
Profesionales de la Educación,,,,,,,,,,,,,,,,,,
Gerentes Especialistas,,,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,,1.0,0.0,,,0.0,0.0,Entorno de trabajo ruidoso,Dificultad para innovar
"Profesionales de Negocios, Recursos Humanos y Marketing",-1.0,2.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,0.0,-1.0,1.0,,1.0,Entorno de trabajo ruidoso,Dificultad para colaborar con colegas remotos
Agricultores y Gerentes de Granjas,2.0,2.0,2.0,2.0,0.0,1.0,-2.0,,1.0,0.0,-1.0,1.0,1.0,0.0,2.0,2.0,Dificultad para colaborar con colegas remotos,Falta de espacios de trabajo y reuniones adecuados
Soporte de Ventas,,-2.0,-1.0,0.0,1.0,2.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,-2.0,2.0,,,
Gerentes Especialistas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",,,,,,,,,,,,,,,,,Interrupciones,Falta de privacidad
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,0.0,1.0,1.0,,1.0,,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,,
Apoyo Clerical y de Oficina,,0.0,0.0,0.0,-2.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,Entorno de trabajo ruidoso,Dificultad para colaborar con colegas remotos
Profesionales de Tecnologías de la Información y Comunicación,,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Falta de espacios de trabajo y reuniones adecuados,Dificultad para colaborar con colegas remotos
Asistentes Personales y Secretarias,2.0,-1.0,0.0,,,,,2.0,1.0,0.0,2.0,0.0,1.0,2.0,,2.0,Interrupciones,Dificultad para colaborar con colegas remotos
"Profesionales de Negocios, Recursos Humanos y Marketing",0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,Interrupciones,Problemas de conectividad/internet
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,-1.0,0.0,-2.0,-2.0,-2.0,-2.0,1.0,-2.0,-2.0,-1.0,-2.0,0.0,-1.0,1.0,-1.0,Dificultad para colaborar con colegas remotos,Falta de privacidad
"Directores Ejecutivos, Gerentes Generales y Legisladores",,,1.0,,-1.0,1.0,,,0.0,,1.0,1.0,-2.0,-1.0,,1.0,Problemas con la configuración de audio y video,Problemas de conectividad/internet
Profesionales de la Educación,0.0,0.0,0.0,1.0,-2.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,Dificultad para innovar,Problemas con la configuración de audio y video
Representantes y Agentes de Ventas,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,Falta de privacidad,Problemas de conectividad/internet
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,,-1.0,,,,,Dificultad para innovar,Problemas de conectividad/internet
"Profesionales de Negocios, Recursos Humanos y Marketing",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,-1.0,1.0,0.0,0.0,Falta de espacios de trabajo y reuniones adecuados,Problemas de conectividad/internet
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-2.0,-2.0,0.0,-2.0,-1.0,1.0,-1.0,Problemas de conectividad/internet,Entorno de trabajo ruidoso
Gerentes Especialistas,1.0,2.0,1.0,-2.0,-1.0,-2.0,-2.0,0.0,0.0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,,
Gerentes Especialistas,0.0,0.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,,
Representantes y Agentes de Ventas,0.0,-1.0,1.0,1.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",,,,,,,,,,,,,,,,,Interrupciones,Entorno de trabajo ruidoso
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",1.0,0.0,0.0,1.0,1.0,0.0,,-1.0,0.0,,1.0,1.0,1.0,0.0,0.0,1.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,,
Gerentes Especialistas,,0.0,,,,,,0.0,,0.0,,,,,,,Dificultad para innovar,Falta de espacios de trabajo y reuniones adecuados
Profesionales de la Salud,2.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0,,1.0,,,1.0,1.0,1.0,Falta de privacidad,Entorno de trabajo ruidoso
Cuidadores y Asistentes,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,1.0,-1.0,0.0,0.0,1.0,Dificultad para colaborar con colegas remotos,Interrupciones
Profesionales de la Salud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",,0.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,,0.0,1.0,1.0,Interrupciones,Dificultad para innovar
"Gerentes de Hospitalidad, Retail y Servicios",-2.0,-1.0,1.0,2.0,1.0,2.0,-1.0,-1.0,1.0,0.0,-1.0,,-2.0,2.0,-1.0,0.0,,
Gerentes Especialistas,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",,1.0,2.0,1.0,,2.0,,,,,1.0,2.0,-1.0,2.0,2.0,2.0,Falta de privacidad,Dificultad para innovar
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,0.0,,,0.0,,1.0,1.0,-2.0,1.0,1.0,1.0,0.0,0.0,1.0,,
Profesionales de Tecnologías de la Información y Comunicación,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,Interrupciones,Dificultad para innovar
"Profesionales Legales, Sociales y de Bienestar",-1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,Interrupciones,Problemas de conectividad/internet
Gerentes Especialistas,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,Dificultad para colaborar con colegas remotos,Interrupciones
Profesionales de la Educación,,-1.0,-1.0,-1.0,-2.0,0.0,-2.0,,,,,1.0,-2.0,,-1.0,0.0,,
Operadores de Máquinas y Plantas Estacionarias,,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,,0.0,0.0,1.0,,0.0,1.0,,,
Soporte de Ventas,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,,
"Profesionales Legales, Sociales y de Bienestar",1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,1.0,-1.0,0.0,Dificultad para colaborar con colegas remotos,Falta de espacios de trabajo y reuniones adecuados
Gerentes Especialistas,-1.0,0.0,-1.0,-2.0,-1.0,-2.0,-1.0,,,-1.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,Interrupciones,Falta de privacidad
"Profesionales Legales, Sociales y de Bienestar",1.0,1.0,2.0,1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,,,2.0,Entorno de trabajo ruidoso,Problemas de conectividad/internet
Profesionales de la Educación,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,Interrupciones,Dificultad para colaborar con colegas remotos
Profesionales de las Artes y los Medios,,,2.0,1.0,-1.0,,,-2.0,1.0,-1.0,0.0,0.0,1.0,,,0.0,Problemas con la configuración de audio y video,Problemas de conectividad/internet
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",1.0,0.0,-1.0,-1.0,-2.0,-1.0,0.0,-2.0,0.0,-2.0,1.0,0.0,-1.0,1.0,-2.0,1.0,Dificultad para colaborar con colegas remotos,Interrupciones
Otros Clericales y Administrativos,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Dificultad para colaborar con colegas remotos,Problemas de conectividad/internet
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",,,,-2.0,,-2.0,-1.0,,,,-1.0,-1.0,,-2.0,,,Falta de espacios de trabajo y reuniones adecuados,Interrupciones
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Problemas de conectividad/internet,Entorno de trabajo ruidoso
Profesionales de las Artes y los Medios,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,,0.0,Interrupciones,Entorno de trabajo ruidoso
Gerentes Especialistas,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Falta de espacios de trabajo y reuniones adecuados,Entorno de trabajo ruidoso
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,2.0,,2.0,1.0,1.0,0.0,1.0,2.0,Entorno de trabajo ruidoso,Problemas de conectividad/internet
Representantes y Agentes de Ventas,0.0,0.0,-1.0,-2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,1.0,0.0,-1.0,Problemas de conectividad/internet,Falta de espacios de trabajo y reuniones adecuados
Clerical General,-2.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,2.0,0.0,-2.0,-2.0,,,Interrupciones,Falta de espacios de trabajo y reuniones adecuados
