occupation_d,barrera más significativa para realizar tu trabajo de forma remota,barrera menos significativa para realizar tu trabajo de forma remota,mejor aspecto del trabajo remoto para ti,peor aspecto del trabajo remoto para ti
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Sentirse excluido y/o aislado,La dirección desalienta el trabajo remoto,Mis gastos diarios,Mis oportunidades de socializar
Profesionales de la Salud,Sentirse excluido y/o aislado,Falta de habilidades para trabajar de forma remota,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Otros Clericales y Administrativos,Conectividad (conexión a internet),Falta de motivación,Gestionar mis responsabilidades familiares,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Responsabilidades de cuidado,Conectividad (conexión a internet),Gestionar mis compromisos personales,Mis gastos diarios
"Directores Ejecutivos, Gerentes Generales y Legisladores",Equipos de IT ,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Clerical General,Falta de habilidades para trabajar de forma remota,Conectividad (conexión a internet),Mis gastos diarios,Gestionar mis responsabilidades familiares
Gerentes Especialistas,Conectividad (conexión a internet),Falta de motivación,Mis gastos diarios,Mi bienestar mental
Soporte de Ventas,Dificultad para colaborar de forma remota,Ciberseguridad,Mis relaciones laborales,Preparación para el trabajo y el desplazamiento
"Profesionales de Negocios, Recursos Humanos y Marketing",Falta de motivación,Sentirse excluido y/o aislado,Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
Apoyo Clerical y de Oficina,Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Equipos de IT ,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Representantes y Agentes de Ventas,Equipos de IT ,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis gastos diarios
"Profesionales Legales, Sociales y de Bienestar",Falta de motivación,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Profesionales Legales, Sociales y de Bienestar",Mi situación de vida,Gestión deficiente,Mis relaciones personales,Preparación para el trabajo y el desplazamiento
Profesionales de Tecnologías de la Información y Comunicación,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Gerentes de Hospitalidad, Retail y Servicios",Dificultad para colaborar de forma remota,Mi espacio de trabajo,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Conectividad (conexión a internet),Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Representantes y Agentes de Ventas,Sentirse excluido y/o aislado,Gestión deficiente,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Dificultad para colaborar de forma remota,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Gerentes Especialistas,Responsabilidades de cuidado,La dirección desalienta el trabajo remoto,Gestionar mis responsabilidades familiares,La cantidad de horas que trabajo
"Gerentes de Hospitalidad, Retail y Servicios",Gestión deficiente,Conectividad (conexión a internet),La cantidad de horas que trabajo,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Equipos de IT ,Falta de motivación,Gestionar mis responsabilidades familiares,Mi equilibrio entre el trabajo y la vida personal
Gerentes Especialistas,Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Mis gastos diarios,Mi satisfacción laboral
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Equipos de IT ,Falta de motivación,Mi satisfacción laboral,Mis relaciones laborales
Gerentes Especialistas,Equipos de IT ,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Gerentes Especialistas,Conectividad (conexión a internet),El software y los sistemas de mi organización,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de la Salud,Responsabilidades de cuidado,Sentirse excluido y/o aislado,Mis oportunidades de aprendizaje en el trabajo,Mis relaciones laborales
Gerentes Especialistas,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Equipos de IT ,Sentirse excluido y/o aislado,Mi bienestar mental,Mis relaciones laborales
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Gestión deficiente,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Sentirse excluido y/o aislado,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Profesionales de la Salud,Dificultad para colaborar de forma remota,Mi situación de vida,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Asistentes y Vendedores,Falta de motivación,Falta de motivación,Mi bienestar mental,Mis oportunidades de socializar
Gerentes Especialistas,Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Falta de motivación,Mi situación de vida,Preparación para el trabajo y el desplazamiento,Mis relaciones personales
"Profesionales de Negocios, Recursos Humanos y Marketing",Equipos de IT ,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Profesionales de Tecnologías de la Información y Comunicación,Mi espacio de trabajo,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Profesionales de la Educación,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
Profesionales de la Educación,Gestión deficiente,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Otros Clericales y Administrativos,Sentirse excluido y/o aislado,Gestión deficiente,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Gerentes de Oficina y Administradores de Programas,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),Mi situación de vida,Preparación para el trabajo y el desplazamiento,Mis relaciones personales
Gerentes Especialistas,Falta de motivación,Sentirse excluido y/o aislado,Mi satisfacción laboral,Mis oportunidades de socializar
Profesionales de la Educación,Gestión deficiente,Falta de motivación,Mis gastos diarios,Mis oportunidades de socializar
Otros Obreros,Dificultad para colaborar de forma remota,Sentirse excluido y/o aislado,Mi bienestar mental,Mis oportunidades de socializar
Gerentes Especialistas,Tengo tareas que no se pueden realizar de forma remota,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Falta de motivación,Mi bienestar mental,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Mi espacio de trabajo,Mis relaciones laborales,Mi satisfacción laboral
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Responsabilidades de cuidado,Mis gastos diarios,Mi bienestar mental
Profesionales de Tecnologías de la Información y Comunicación,Gestión deficiente,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Otros Clericales y Administrativos,Sentirse excluido y/o aislado,Mi situación de vida,Mi bienestar mental,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mi bienestar mental
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Conectividad (conexión a internet),Falta de motivación,Mi satisfacción laboral,Mis gastos diarios
Gerentes Especialistas,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Gestión deficiente,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Clerks de Consultas y Recepcionistas,Falta de motivación,Conectividad (conexión a internet),Mis gastos diarios,Mis relaciones laborales
Asistentes y Vendedores,Equipos de IT ,Ciberseguridad,Gestionar mis responsabilidades familiares,Mis gastos diarios
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Equipos de IT ,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Asistentes Personales y Secretarias,Sentirse excluido y/o aislado,Mi situación de vida,Mis relaciones laborales,Gestionar mis compromisos personales
Asistentes Personales y Secretarias,Equipos de IT ,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Asistentes y Vendedores,Falta de motivación,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Preparación para el trabajo y el desplazamiento
"Directores Ejecutivos, Gerentes Generales y Legisladores",Mi situación de vida,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Mi espacio de trabajo,Mis gastos diarios,Mi bienestar mental
Profesionales de Tecnologías de la Información y Comunicación,Gestión deficiente,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Equipos de IT ,Conectividad (conexión a internet),La cantidad de horas que trabajo,Mis relaciones laborales
Profesionales de la Salud,Falta de motivación,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Hospitalidad,Mi situación de vida,Responsabilidades de cuidado,Mis relaciones personales,Mi bienestar mental
Otros Clericales y Administrativos,Equipos de IT ,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Equipos de IT ,Mis gastos diarios,Mis oportunidades de socializar
Gerentes Especialistas,Dificultad para colaborar de forma remota,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Sentirse excluido y/o aislado,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Profesionales de la Salud,Falta de motivación,Equipos de IT ,Mis oportunidades de aprendizaje en el trabajo,Mi equilibrio entre el trabajo y la vida personal
Gerentes Especialistas,Sentirse excluido y/o aislado,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mi satisfacción laboral
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Responsabilidades de cuidado,Tengo tareas que no se pueden realizar de forma remota,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Responsabilidades de cuidado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Mi espacio de trabajo,Gestión deficiente,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
"Profesionales de Negocios, Recursos Humanos y Marketing",Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Apoyo Clerical y de Oficina,Gestión deficiente,Sentirse excluido y/o aislado,Gestionar mis responsabilidades familiares,Mis oportunidades de aprendizaje en el trabajo
Profesionales de Tecnologías de la Información y Comunicación,Equipos de IT ,Dificultad para colaborar de forma remota,Mi equilibrio entre el trabajo y la vida personal,Gestionar mis responsabilidades familiares
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Apoyo Clerical y de Oficina,Sentirse excluido y/o aislado,Ciberseguridad,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
Profesionales de la Educación,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Falta de motivación,Mi espacio de trabajo,Mis gastos diarios,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Conectividad (conexión a internet),Mi bienestar mental,Mis relaciones personales
Gerentes Especialistas,Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Gerentes Especialistas,Sentirse excluido y/o aislado,Tengo tareas que no se pueden realizar de forma remota,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Equipos de IT ,Preparación para el trabajo y el desplazamiento,Gestionar mis responsabilidades familiares
"Profesionales de Negocios, Recursos Humanos y Marketing",Falta de motivación,Falta de motivación,Mis gastos diarios,Mis oportunidades de socializar
Apoyo Clerical y de Oficina,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Gestionar mis compromisos personales,Mi equilibrio entre el trabajo y la vida personal
"Profesionales de Negocios, Recursos Humanos y Marketing",Mi situación de vida,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
Obreros de Construcción y Minería,Sentirse excluido y/o aislado,Tengo tareas que no se pueden realizar de forma remota,La cantidad de horas que trabajo,Mis gastos diarios
"Profesionales de Negocios, Recursos Humanos y Marketing",Responsabilidades de cuidado,Mi situación de vida,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Profesionales de la Educación,Falta de motivación,La dirección desalienta el trabajo remoto,Mi equilibrio entre el trabajo y la vida personal,Gestionar mis compromisos personales
Clerical General,Mi situación de vida,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Gerentes Especialistas,Dificultad para colaborar de forma remota,Ciberseguridad,Mis relaciones personales,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Falta de motivación,Mi bienestar mental,Mis oportunidades de socializar
Profesionales de la Educación,Sentirse excluido y/o aislado,Tengo tareas que no se pueden realizar de forma remota,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Gerentes Especialistas,Mi situación de vida,Responsabilidades de cuidado,Mis gastos diarios,Mis oportunidades de aprendizaje en el trabajo
Profesionales de la Salud,Gestión deficiente,Tengo tareas que no se pueden realizar de forma remota,Preparación para el trabajo y el desplazamiento,Mi equilibrio entre el trabajo y la vida personal
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,Mi bienestar mental
Profesionales de Tecnologías de la Información y Comunicación,Gestión deficiente,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Profesionales de la Salud,Conectividad (conexión a internet),Ciberseguridad,La cantidad de horas que trabajo,Gestionar mis responsabilidades familiares
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Mis relaciones personales,Mis oportunidades de socializar
"Gerentes de Hospitalidad, Retail y Servicios",Gestión deficiente,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,La cantidad de horas que trabajo
"Profesionales Legales, Sociales y de Bienestar",Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Gestión deficiente,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Profesionales Legales, Sociales y de Bienestar",Conectividad (conexión a internet),Sentirse excluido y/o aislado,Gestionar mis responsabilidades familiares,Mis relaciones laborales
Gerentes Especialistas,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Representantes y Agentes de Ventas,Falta de motivación,La dirección desalienta el trabajo remoto,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Apoyo Clerical y de Oficina,Tengo tareas que no se pueden realizar de forma remota,Falta de motivación,Mis gastos diarios,Mis relaciones laborales
Gerentes Especialistas,Equipos de IT ,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Falta de motivación,Mi satisfacción laboral,Mis relaciones personales
Gerentes Especialistas,Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Servicio de Protección,Conectividad (conexión a internet),Falta de habilidades para trabajar de forma remota,Mi bienestar mental,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Dificultad para colaborar de forma remota,Equipos de IT ,Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Falta de motivación,Sentirse excluido y/o aislado,Mis relaciones laborales,Mis gastos diarios
Clerical General,Sentirse excluido y/o aislado,Responsabilidades de cuidado,La cantidad de horas que trabajo,Mi equilibrio entre el trabajo y la vida personal
Gerentes Especialistas,Sentirse excluido y/o aislado,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones personales
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Conectividad (conexión a internet),Gestión deficiente,Mis gastos diarios,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Equipos de IT ,Mi situación de vida,Gestionar mis compromisos personales,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),Responsabilidades de cuidado,Mis relaciones laborales,Preparación para el trabajo y el desplazamiento
Otros Clericales y Administrativos,Gestión deficiente,La dirección desalienta el trabajo remoto,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Profesionales de las Artes y los Medios,Dificultad para colaborar de forma remota,Gestión deficiente,Mi satisfacción laboral,Mi equilibrio entre el trabajo y la vida personal
Gerentes Especialistas,Conectividad (conexión a internet),La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mi satisfacción laboral
Soporte de Ventas,Equipos de IT ,Tengo tareas que no se pueden realizar de forma remota,Mi bienestar mental,Mis oportunidades de socializar
Gerentes Especialistas,Sentirse excluido y/o aislado,Ciberseguridad,Preparación para el trabajo y el desplazamiento,Mis gastos diarios
Apoyo Clerical y de Oficina,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Conectividad (conexión a internet),Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Gerentes Especialistas,Ciberseguridad,Equipos de IT ,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Equipos de IT ,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Mi equilibrio entre el trabajo y la vida personal
Gerentes Especialistas,Equipos de IT ,Sentirse excluido y/o aislado,Gestionar mis responsabilidades familiares,Preparación para el trabajo y el desplazamiento
Gerentes de Oficina y Administradores de Programas,Falta de motivación,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Gerentes Especialistas,Conectividad (conexión a internet),Ciberseguridad,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Oficios de Electrotecnología y Telecomunicaciones,Sentirse excluido y/o aislado,Gestión deficiente,Mis relaciones laborales,Gestionar mis responsabilidades familiares
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de la Educación,La dirección desalienta el trabajo remoto,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Gestión deficiente,Tengo tareas que no se pueden realizar de forma remota,Gestionar mis responsabilidades familiares,La cantidad de horas que trabajo
Profesionales de Tecnologías de la Información y Comunicación,Conectividad (conexión a internet),Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Responsabilidades de cuidado,Equipos de IT ,La cantidad de horas que trabajo,Mi bienestar mental
Gerentes Especialistas,Sentirse excluido y/o aislado,La dirección desalienta el trabajo remoto,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Dificultad para colaborar de forma remota,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,Dificultad para colaborar de forma remota,Ciberseguridad,Mis relaciones laborales,Gestionar mis responsabilidades familiares
Gerentes Especialistas,Conectividad (conexión a internet),Falta de motivación,Preparación para el trabajo y el desplazamiento,Gestionar mis compromisos personales
Profesionales de la Salud,La dirección desalienta el trabajo remoto,Mi espacio de trabajo,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,La dirección desalienta el trabajo remoto,Falta de motivación,Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
Gerentes Especialistas,Conectividad (conexión a internet),Gestión deficiente,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Gerentes Especialistas,Responsabilidades de cuidado,Falta de motivación,Mis oportunidades de socializar,Preparación para el trabajo y el desplazamiento
Representantes y Agentes de Ventas,La dirección desalienta el trabajo remoto,Ciberseguridad,Gestionar mis responsabilidades familiares,Mis oportunidades de aprendizaje en el trabajo
Gerentes de Oficina y Administradores de Programas,Mi situación de vida,Sentirse excluido y/o aislado,La cantidad de horas que trabajo,Gestionar mis compromisos personales
"Profesionales de Negocios, Recursos Humanos y Marketing",Mi espacio de trabajo,Dificultad para colaborar de forma remota,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,Falta de motivación,Mi espacio de trabajo,Mis oportunidades de aprendizaje en el trabajo,Gestionar mis compromisos personales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Equipos de IT ,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Ciberseguridad,La dirección desalienta el trabajo remoto,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de las Artes y los Medios,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Mis gastos diarios,Mi satisfacción laboral
Otros Técnicos y Oficios,Conectividad (conexión a internet),Falta de habilidades para trabajar de forma remota,Preparación para el trabajo y el desplazamiento,Mis gastos diarios
Hospitalidad,Conectividad (conexión a internet),Mi situación de vida,Mis relaciones personales,Mis relaciones laborales
Gerentes Especialistas,Conectividad (conexión a internet),Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Falta de habilidades para trabajar de forma remota,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
Gerentes Especialistas,Equipos de IT ,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Apoyo de Salud y Bienestar,Sentirse excluido y/o aislado,Equipos de IT ,Mi bienestar mental,Mis oportunidades de socializar
Gerentes Especialistas,Equipos de IT ,Falta de motivación,Gestionar mis compromisos personales,Mi equilibrio entre el trabajo y la vida personal
Gerentes Especialistas,Falta de motivación,La dirección desalienta el trabajo remoto,Mis gastos diarios,Mi bienestar mental
"Profesionales de Negocios, Recursos Humanos y Marketing",Ciberseguridad,Falta de motivación,Mis gastos diarios,Mi satisfacción laboral
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Clerical General,Sentirse excluido y/o aislado,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Profesionales Legales, Sociales y de Bienestar",Gestión deficiente,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Gerentes Especialistas,Ciberseguridad,Gestión deficiente,Mi satisfacción laboral,Mi bienestar mental
Oficios de Construcción,Equipos de IT ,Ciberseguridad,La cantidad de horas que trabajo,Gestionar mis responsabilidades familiares
Profesionales de la Salud,Gestión deficiente,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Gestionar mis responsabilidades familiares,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Equipos de IT ,Falta de motivación,Mi satisfacción laboral,Mis relaciones laborales
Clerical General,Conectividad (conexión a internet),Mi situación de vida,La cantidad de horas que trabajo,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",La dirección desalienta el trabajo remoto,Mi espacio de trabajo,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Otros Clericales y Administrativos,Dificultad para colaborar de forma remota,Sentirse excluido y/o aislado,Mis gastos diarios,Mis oportunidades de socializar
Gerentes Especialistas,Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Gestión deficiente,Mi espacio de trabajo,Gestionar mis compromisos personales,Mis relaciones laborales
Gerentes Especialistas,Equipos de IT ,Responsabilidades de cuidado,Gestionar mis compromisos personales,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Dificultad para colaborar de forma remota,Falta de motivación,Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,Mi situación de vida,Ciberseguridad,Mis gastos diarios,Mis relaciones laborales
Gerentes Especialistas,Conectividad (conexión a internet),Gestión deficiente,Preparación para el trabajo y el desplazamiento,Preparación para el trabajo y el desplazamiento
Profesionales de Tecnologías de la Información y Comunicación,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Gestionar mis responsabilidades familiares,Mis oportunidades de aprendizaje en el trabajo
Profesionales de la Educación,Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Mis gastos diarios,Mis oportunidades de socializar
Otros Técnicos y Oficios,Gestión deficiente,Falta de motivación,Gestionar mis responsabilidades familiares,Mi bienestar mental
